pool,token0,token1
0x55CF10BFbC6a9deAeB3c7ec0dd96D3C1179CB948,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70
0x4ed65dAB34d5FD4b1eb384432027CE47E90E1185,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x84fe1a84C0448d1dC4199a40fe53DB6A49ed6037,0x37B608519F91f70F2EeB0e5Ed9AF4061722e4F76,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x979A33a1bF0894F7329450Ec7f1B084cE34A9dEa,0x416d877B11D4ecB09017B1D48Cd32cF110312630,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x622539d512D66E0FEb890e88E0F4F8F4CF8b212f,0x45CdaF3Fd17BD31d9830Fa977159162DD2431683,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x6066F756B0726Ac832Ff14b07FFaeB49616ed173,0x596fA47043f99A4e0F122243B841E55375cdE0d2,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x5b21243564C32b798880488563cd6c33A864ccf3,0x36b6D3f348916c34d619CA1E69a308A5ea71EA17,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xcBb424fd93cDeC0EF330d8A8C985E8b147F62339,0x130966628846BFd36ff31a822705796e8cb8C18D,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x37b473780f7f69892629B6B59d5939d40dd2b032,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xefC42FC9C5d607bed3ED45c2895E60C9aba9110a
0x96075CCaD1De34DCC1Cb18De8c46845ea95D89A5,0xc0b84A8e91aA93205D4342Fd73C0a84141030799,0xc7198437980c041c805A1EDcbA50c1Ce5db95118
0x78c13e7549B56503Dc11A1dBEc284ac01eA24e32,0x5BcDE17c50652aD6148C970F10Bf06647137A7E4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xCb03b08d09368592BEAB3b895558431fCC2086Be,0x937E077aBaEA52d3abf879c9b9d3f2eBd15BAA21,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xb6a3aE0d42E92A5DDf8EfF130b71b1EeEce14a4d,0x8BB0B9D6E637249b32f4c45F9Eefe73D4A1ea9CC,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0xC96e21667D0FaABb02E5C6a1F9355d99F9B16cd4,0xB147656604217a03Fe2c73c4838770DF8d9D21B8,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x22B97CD8E0DBa9bB6D15Eb97c94Faa8182F48aB3,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xfbcA7aB8ecBa28EAdDfD189ebCCb6FcDE95B8e2a
0xd312E3DBf9de7Fa7E78BB54316f3c396B0793503,0x8D4416Fd511895227AA46e7BB655203bEF3dCAB4,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x21FA534B7c81CE348af5Af8974509fFf431078D4,0x10A90575183e8d9c3cc09B684124C58e7c3aEeB0,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
0x349495dF940d3B42e7132215fF654564A8BDF3ca,0x11b087545A5b6C8b6Db20a4b910860f5A75E1D8c,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7
